COMPANY_ID,NAME,PAY_GROUP_ID,Pay Period,Pay Period Begin Date,Pay Period End Date,Deduction Cutoff Date,File Run Date
4230,PEARSON INC,01B0000762,4,04-FEB-23,17-FEB-23,17-FEB-23,15-FEB-23
4230,PEARSON INC,01B0000762,5,18-FEB-23,03-MAR-23,03-MAR-23,01-MAR-23
4230,PEARSON INC,01B0000762,6,04-MAR-23,17-MAR-23,17-MAR-23,15-MAR-23
4230,PEARSON INC,01B0000762,7,18-MAR-23,31-MAR-23,31-MAR-23,29-MAR-23
4230,PEARSON INC,01B0000762,8,01-APR-23,14-APR-23,14-APR-23,12-APR-23
4230,PEARSON INC,01B0000762,9,15-APR-23,28-APR-23,28-APR-23,26-APR-23
4230,PEARSON INC,01B0000762,10,29-APR-23,12-MAY-23,12-MAY-23,10-MAY-23
4230,PEARSON INC,01B0000762,11,13-MAY-23,26-MAY-23,26-MAY-23,24-MAY-23
4230,PEARSON INC,01B0000762,12,27-MAY-23,09-JUN-23,09-JUN-23,07-JUN-23
4230,PEARSON INC,01B0000762,13,10-JUN-23,23-JUN-23,23-JUN-23,21-JUN-23
4230,PEARSON INC,01B0000762,14,24-JUN-23,07-JUL-23,07-JUL-23,05-JUL-23
4230,PEARSON INC,01B0000762,15,08-JUL-23,21-JUL-23,21-JUL-23,19-JUL-23
4230,PEARSON INC,01B0000762,16,22-JUL-23,04-AUG-23,04-AUG-23,02-AUG-23
4230,PEARSON INC,01B0000762,17,05-AUG-23,18-AUG-23,18-AUG-23,16-AUG-23
4230,PEARSON INC,01B0000762,18,19-AUG-23,01-SEP-23,01-SEP-23,30-AUG-23
4230,PEARSON INC,01B0000762,19,02-SEP-23,15-SEP-23,15-SEP-23,13-SEP-23
4230,PEARSON INC,01B0000762,20,16-SEP-23,29-SEP-23,29-SEP-23,27-SEP-23
4230,PEARSON INC,01B0000762,21,30-SEP-23,13-OCT-23,13-OCT-23,11-OCT-23
4230,PEARSON INC,01B0000762,22,14-OCT-23,27-OCT-23,27-OCT-23,25-OCT-23
4230,PEARSON INC,01B0000762,23,28-OCT-23,10-NOV-23,10-NOV-23,08-NOV-23
4230,PEARSON INC,01B0000762,24,11-NOV-23,24-NOV-23,24-NOV-23,21-NOV-23
4230,PEARSON INC,01B0000762,25,25-NOV-23,08-DEC-23,08-DEC-23,06-DEC-23
4230,PEARSON INC,01B0000762,26,09-DEC-23,22-DEC-23,22-DEC-23,20-DEC-23
4230,PEARSON INC,01B0000781,1,17-DEC-22,30-DEC-22,02-JAN-23,02-JAN-23
4230,PEARSON INC,01B0000781,2,31-DEC-22,13-JAN-23,13-JAN-23,09-JAN-23
4230,PEARSON INC,01B0000781,3,14-JAN-23,27-JAN-23,27-JAN-23,23-JAN-23
4230,PEARSON INC,01B0000781,4,28-JAN-23,10-FEB-23,10-FEB-23,06-FEB-23
4230,PEARSON INC,01B0000781,5,11-FEB-23,24-FEB-23,24-FEB-23,20-FEB-23
4230,PEARSON INC,01B0000781,6,25-FEB-23,10-MAR-23,10-MAR-23,06-MAR-23
4230,PEARSON INC,01B0000781,7,11-MAR-23,24-MAR-23,24-MAR-23,20-MAR-23
4230,PEARSON INC,01B0000781,8,25-MAR-23,07-APR-23,07-APR-23,03-APR-23
